reference_image_id,url,created_at
6f89187d-c0d2-42b2-8a14-a9e2a9ff01c6,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/3a20c943ec7f2bdb0e5e7a8f764c09c6.jpg,2025-08-06T23:58:25.442843
287b370f-4ea8-4f77-9ee1-7a55907e751e,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/3aa016d36a6f3c271095d12834bcab2a.png,2025-08-06T23:58:25.442843
52f653c8-7b1b-405b-ba77-0d25da87ecf0,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/41d3969d379ed60a1ab10228f062f34d.jpg,2025-08-06T23:58:25.442843
5fad1418-41ef-4488-b141-f582c71fe748,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/431f6fe79d2263d6f268c41a850d6688.jpg,2025-08-06T23:58:25.442843
7e795bd5-cac6-4b44-a27b-96458ad9ae62,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/439bd759ad4098d73f1f9ca216f6d234.jpg,2025-08-06T23:58:25.442843
ba060a5a-eaf7-429e-b73a-5cfca7e70dc7,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/43dfe24f89fd1b9dbed8c717f7ea4347.jpg,2025-08-06T23:58:25.442843
4cf66fdf-9520-4980-b8b9-21e74e06336e,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/44cbc8695c18329cba7e859b01fbccd8.jpg,2025-08-06T23:58:25.442843
9119e116-76bc-4548-909a-518b83ce321d,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/4aa487e6ac7e0d7e2d0b504e7382a489.jpg,2025-08-06T23:58:25.442843
a4b99a82-b732-411a-9874-d5fa360c5654,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/4b24293c6d0e21b7bdaf1c704398f73a.jpg,2025-08-06T23:58:25.442843
f7a76717-664b-4458-8a37-6bf2bd50c7cc,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/512bb04c4928e1a88e3901df3c50d43d.jpg,2025-08-06T23:58:25.442843
ed5392ac-66b7-4663-9b7e-76ceb4a3e5ab,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/52b5be5472003b9d4a700d51e9acd0d4.jpg,2025-08-06T23:58:25.442843
9eb347d6-d87c-477c-83db-6de39457f1c0,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/537514ecc481af161a8b434c1b2e008e.jpg,2025-08-06T23:58:25.442843
30481665-17ae-453d-88a6-7ff85185e9a2,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/53961417.jpg,2025-08-06T23:58:25.442843
0da16051-71f4-4063-82d5-da99c8dec619,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/543140658a385ba49bf8154bfaac0cb8.jpg,2025-08-06T23:58:25.442843
12bf34de-fdd4-473f-b75f-0312b123f585,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/56e5a9411da1c918afc01e2833386159.jpg,2025-08-06T23:58:25.442843
ba8cb914-af6d-404d-90c3-40f49003a0b8,https://uscwuogmxxaxwvfueasr.supabase.co/storage/v1/object/public/layerminder-warehouse/reference/5f5788dd3e08fe017330161f_quindici-mattiazzi-1.png,2025-08-06T23:58:25.442843
